Customer Age,TransactionAmount
17.9,4963.1298236525445
5.8,8253.318230139987
14.2,14125.27104882845
12.8,14867.810810804842
20.8,6927.500432406825
7.8,7096.017601983609
19.0,9968.364538620364
17.7,6643.704195354575
14.0,12774.62592569042
16.5,4473.910441854414
15.9,11586.402235765667
7.4,8386.109545559142
16.7,6374.497839365566
20.8,9546.40292272294
13.0,13170.779320910086
13.1,16669.140554029033
7.3,6140.20713984669
6.9,6138.502023721685
15.2,14558.140305471765
6.8,6769.757591072663
20.2,10306.851518053114
13.5,14484.483886846809
18.4,4379.9239029475975
15.1,13407.844587192894
13.0,11722.01380557016
19.0,10161.956912405298
19.8,10243.099124577586
15.4,15165.33128281266
19.6,6116.177838536127
17.5,6442.371320089369
18.5,5430.544488129695
20.6,10453.814009562648
17.7,8398.898898280095
8.2,6312.284317101163
17.1,12265.160837547484
7.1,7583.958081249099
19.9,4814.718253499937
13.7,13924.152119948045
14.9,10138.03053363256
13.7,14038.326012459664
18.6,5626.428518010679
5.0,7157.558517107832
4.9,6906.799049010096
7.7,6997.575275708224
16.7,6185.470484261452
4.4,8053.321275395216
15.6,5710.852726300912
6.6,5988.234501930383
13.9,14941.649609413425
15.8,13790.209482079055
6.1,7255.304789713658
15.5,12967.511609512014
16.8,6531.556539008587
17.8,3174.209221307732
5.7,6610.241323956238
18.1,5631.641302358301
13.5,11531.372939783909
19.3,10411.557853671839
13.6,14682.306541417358
12.6,14236.645191225776
13.8,13232.482013763929
19.0,9644.800780908661
8.0,5206.206960609821
17.1,3563.712942430406
8.3,8361.371016550731
16.9,8570.747871454067
15.9,11953.370623559704
17.9,9824.180533115757
17.8,13773.430077548328
17.6,5487.243130588966
12.8,15332.300281263282
14.2,11936.722251898496
19.2,9310.183730958039
11.7,16882.233044646102
6.3,6184.364708077928
7.1,5975.068812651569
18.4,11113.472229801222
6.9,7599.099617127028
13.2,15043.142830531613
14.9,13991.025131324222
15.8,12794.935619855223
13.8,15442.768583178633
14.2,14466.446633979871
9.5,6358.921546248914
18.4,9561.25690643918
16.5,12987.77923637279
15.5,13382.558024402619
16.1,12462.144039499517
19.7,8695.694511652837
7.4,7197.707726215016
18.3,5963.906486523102
15.2,14536.657438505936
15.6,12456.64045788698
15.8,12864.75945764436
20.0,10109.259828257305
7.0,8036.615869934223
16.4,14311.05227984747
16.9,6688.288935597847
13.8,15050.15599734516
16.6,6056.036877141041
15.4,11387.670353007186
6.4,6668.73685842803
14.4,15287.346979732542
15.0,13509.621563522891
9.1,5955.551368235502
