Area,Bedrooms,Bathrooms,Location,Age,Garage,Price
3774,4,2,Location3,23,0,814142.61718235
4107,2,2,Location3,46,0,836259.0820649824
1460,3,3,Location2,113,1,296721.57396003034
1894,5,2,Location1,30,0,399099.5910459246
1730,3,2,Location5,67,0,441862.94100160385
1695,1,3,Location4,92,2,446034.90768947976
4372,4,3,Location2,33,0,780729.0280672943
3692,3,3,Location3,106,0,735251.4303972123
2238,5,3,Location2,3,1,476111.5491847941
2769,1,1,Location5,69,2,699084.195219947
1066,2,1,Location3,83,0,288687.69864016154
1838,2,2,Location4,42,1,543242.9705598
930,5,1,Location4,62,1,296084.323347351
2082,1,2,Location4,58,1,449655.5211015588
2735,4,1,Location1,57,1,528408.2815253031
4044,3,3,Location3,112,1,841473.7134707365
3771,1,3,Location3,1,1,769917.4266956536
3519,2,1,Location1,102,0,562586.2630339321
4335,5,1,Location3,73,2,856476.1787746589
730,5,2,Location1,60,2,174727.16568607744
2285,3,2,Location2,69,1,402593.7125306926
3980,5,2,Location5,59,1,1009963.4960046844
1369,5,3,Location4,46,2,427118.9780511912
2991,1,3,Location1,106,0,516582.87361974537
2115,4,3,Location1,34,1,381132.530814064
4085,3,3,Location1,101,2,757098.4188055466
3453,1,2,Location2,97,2,579409.2050975574
3033,4,3,Location1,25,1,544400.3547586926
1815,1,3,Location5,42,2,552001.3183712721
1555,1,3,Location5,29,0,328446.57896138926
2924,5,3,Location4,25,2,720682.4952761687
1784,4,1,Location2,54,1,347724.147379796
1059,3,2,Location5,73,1,337984.05455909343
3985,3,2,Location3,67,2,802929.4683517368
621,4,3,Location3,15,2,267704.5644803111
2900,5,1,Location3,4,1,691051.1893103982
1347,2,2,Location1,109,0,388636.31870953087
3504,1,2,Location1,38,2,600370.0075438913
4232,5,3,Location3,20,0,910978.6376040122
1074,4,3,Location4,113,0,327209.7031974303
1682,1,2,Location4,23,1,445306.0759674151
3158,3,2,Location1,37,1,630049.9973791187
4353,2,1,Location3,62,1,830402.33035763
2647,3,2,Location4,111,0,583634.750074262
4147,4,2,Location1,8,1,704316.3170675009
3347,1,3,Location3,37,1,648689.5678001079
1575,4,2,Location2,45,0,346261.25325799827
2406,1,3,Location3,97,0,543210.4961535118
789,5,2,Location3,33,0,285486.09787619236
3605,2,2,Location5,7,0,850282.7144214498
